ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,sampleRate,sampleSize,streamType,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,61,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6703ea4c00ab2c30dea7d489,48000.0,16.0,start,2024-10-07 17:03:56.135,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ad584dba-3bef-4ca3-8d37-9c2dc9c9771b,70,{'streamType': 'end'},6703ea5300ab2c30dea7d4f8,,,end,2024-10-07 17:04:03.549,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,19a97d2c-3c2a-4afa-a7fe-e06728b508b7,15,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fe3fc3ce37c37834945f26,48000.0,16.0,start,2024-10-03 09:54:59.821,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,c2b7fbf6-5c60-496e-8342-70e83c6318c1,18,{'streamType': 'end'},66ff2d5055f202ce2618ade1,,,end,2024-10-04 02:48:32.677,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8ae64a00-38ba-4c75-9a5c-88ef22db9dbf,23,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fde0e3ce37c37834909193,48000.0,16.0,start,2024-10-03 03:10:11.287,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,8ae64a00-38ba-4c75-9a5c-88ef22db9dbf,29,{'streamType': 'end'},66fde0e3ce37c3783490919f,,,end,2024-10-03 03:10:11.674,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,2bed66f1-db15-452f-8dd0-9928e8be51ad,18,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",66fd9d9255f202ce26074cf6,48000.0,16.0,start,2024-10-02 22:22:58.205,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,fc23607c-6f1d-4580-b9a0-170fba02a8a2,224,{'streamType': 'end'},670e828e8529bdd288bc8083,,,end,2024-10-15 17:56:14.909,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,83894b12-c844-4792-abbb-421b0b7fc14c,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670ea4b5c6d56ea4415e9020,48000.0,16.0,start,2024-10-15 20:21:57.240,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,83894b12-c844-4792-abbb-421b0b7fc14c,29,{'streamType': 'end'},670ea4c5c6d56ea4415e914e,,,end,2024-10-15 20:22:13.854,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3fb90d48-9024-40d2-ba71-b3548ba399ad,81,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670ea4bc4031c12e658c7b9f,48000.0,16.0,start,2024-10-15 20:22:04.404,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,678fc377-8c48-484d-b13e-ae5f1f44ea64,21,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670e8a0df9334728e3fa8ef9,48000.0,16.0,start,2024-10-15 18:28:13.512,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,678fc377-8c48-484d-b13e-ae5f1f44ea64,29,{'streamType': 'end'},670e8a12f9334728e3fa8f4a,,,end,2024-10-15 18:28:18.635,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7bb880b3-ab94-4cc3-9797-1d0c947327f7,14,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670eb0f154d7ba2ed0d93bd2,48000.0,16.0,start,2024-10-15 21:14:09.366,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7bb880b3-ab94-4cc3-9797-1d0c947327f7,23,{'streamType': 'end'},670eb0f954d7ba2ed0d93c46,,,end,2024-10-15 21:14:17.377,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7bb880b3-ab94-4cc3-9797-1d0c947327f7,29,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",670eb12a54d7ba2ed0d93e6a,48000.0,16.0,start,2024-10-15 21:15:06.930,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7bb880b3-ab94-4cc3-9797-1d0c947327f7,38,{'streamType': 'end'},670eb13254d7ba2ed0d93eb2,,,end,2024-10-15 21:15:14.243,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b924321c-b119-4b40-af22-0e679c63bb21,42,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",6704d575ce37c37834daea3b,48000.0,16.0,start,2024-10-08 09:47:17.626,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,b924321c-b119-4b40-af22-0e679c63bb21,48,{'streamType': 'end'},6704d57ece37c37834daea69,,,end,2024-10-08 09:47:26.573,AUDIO_STREAM
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,ef67ddf6-8e49-4cca-a3b9-6737f1bbaded,17,"{'sampleRate': 48000, 'sampleSize': 16, 'streamType': 'start'}",67049436ce37c37834d8f0d9,48000.0,16.0,start,2024-10-08 05:08:54.731,AUDIO_STREAM
