CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,lastUtteranceSource,reason
59ff0929-6ba0-4fce-b4bf-29bcc3d048b4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707d57a7673c82f42813b54,2024-10-10 16:24:10.763,CHAT_CONVERSATION_ENDED,Bot,inactivity
13f9da37-000b-45f7-958d-9e79d05f8bfd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,23,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670c420e8529bdd288a4dfe2,2024-10-14 00:56:30.641,CHAT_CONVERSATION_ENDED,Bot,inactivity
18360d87-9d3d-4735-9983-6b1de826d481,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,22,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670c00298529bdd288a1dce8,2024-10-13 20:15:21.922,CHAT_CONVERSATION_ENDED,Bot,inactivity
36887ea0-dce8-4849-b7ed-40170e769b1a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,50,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670c00c214519701d62167f7,2024-10-13 20:17:54.258,CHAT_CONVERSATION_ENDED,Bot,inactivity
dca37f59-665b-4285-be09-dda0f585572a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670b1fa114519701d61b7bc1,2024-10-13 04:17:21.913,CHAT_CONVERSATION_ENDED,Bot,inactivity
707237c6-156b-412e-ab85-f91e8d5b64cd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,41,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6708311786501aa6ad21dd12,2024-10-10 22:55:03.551,CHAT_CONVERSATION_ENDED,Bot,inactivity
e17ed1d1-f6ad-4269-8805-711a8ff87d25,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,74,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707d34c14519701d6f8f6e8,2024-10-10 16:14:52.550,CHAT_CONVERSATION_ENDED,Bot,inactivity
e17ed1d1-f6ad-4269-8805-711a8ff87d25,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,75,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707d34c7673c82f428115f5,2024-10-10 16:14:52.551,CHAT_CONVERSATION_ENDED,Bot,inactivity
7b5aff83-f0bf-4b15-a382-994800502217,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,45,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670857c014519701d60070f8,2024-10-11 01:40:00.130,CHAT_CONVERSATION_ENDED,Bot,inactivity
32dae4a8-6faa-461d-ba03-71e3a56c844f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,57,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707851114519701d6f6acce,2024-10-10 10:41:05.526,CHAT_CONVERSATION_ENDED,Bot,inactivity
0751bbb4-c5e4-41b9-9453-2d35109d8284,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,47,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707dd448529bdd288794354,2024-10-10 16:57:24.335,CHAT_CONVERSATION_ENDED,Bot,inactivity
cd97114a-edaf-4ab9-838e-bfa2b4a96751,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,36,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6708065b8529bdd2887bdd5b,2024-10-10 19:52:43.363,CHAT_CONVERSATION_ENDED,Bot,inactivity
af84f537-d27d-404c-9406-11b28398d3eb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,40,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670834dad7b6713c29c21f20,2024-10-10 23:11:06.785,CHAT_CONVERSATION_ENDED,Bot,inactivity
6c551be9-7f76-49ea-bb0a-476cc1d90e1a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,129,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67080b0f86501aa6ad1fd078,2024-10-10 20:12:47.848,CHAT_CONVERSATION_ENDED,Bot,inactivity
d2cd8ea6-8f50-4354-a457-d068a3a0b6a5,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,72,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6708016314519701d6fbd8d9,2024-10-10 19:31:31.470,CHAT_CONVERSATION_ENDED,Bot,inactivity
6de42711-f810-41bd-aa0d-6d4acf9d6b49,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,91,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670832178529bdd2887e4136,2024-10-10 22:59:19.428,CHAT_CONVERSATION_ENDED,Bot,inactivity
f31ef72a-ca89-4069-aafc-d2fad1072a55,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,61,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67082e0b8529bdd2887e0bf4,2024-10-10 22:42:03.283,CHAT_CONVERSATION_ENDED,Bot,inactivity
9256f91b-4855-41c9-b774-8942aeb122cd,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,30,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67083e8e14519701d6ff2835,2024-10-10 23:52:30.857,CHAT_CONVERSATION_ENDED,Bot,inactivity
22796da5-4908-4e8c-801c-b64ad50a6f78,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,98,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67083fe6d7b6713c29c2dd34,2024-10-10 23:58:14.304,CHAT_CONVERSATION_ENDED,Bot,inactivity
0de89a57-7eb7-44d6-b6d5-55dec12a5e7a,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,48,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",67084cdb14519701d6fff679,2024-10-11 00:53:31.687,CHAT_CONVERSATION_ENDED,Bot,inactivity
4cb930b8-08c7-419e-87e3-d361fe0f7a16,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,73,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",6707526014519701d6f5c113,2024-10-10 07:04:48.259,CHAT_CONVERSATION_ENDED,Bot,inactivity
1c523941-7387-4720-a0b7-5c458ce0d8aa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,96,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670836fad7b6713c29c2401d,2024-10-10 23:20:10.674,CHAT_CONVERSATION_ENDED,Bot,inactivity
1c523941-7387-4720-a0b7-5c458ce0d8aa,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,97,"{'lastUtteranceSource': 'Bot', 'reason': 'inactivity'}",670836fa14519701d6feb41d,2024-10-10 23:20:10.677,CHAT_CONVERSATION_ENDED,Bot,inactivity
