ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,key,name,nluEngineVersion,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,88570048-fa67-45fa-b5a7-4d0e1c001753,50,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224', 'requestLatency': 1760}",66fd97bc55f202ce260705db,,INFORMATION_SEARCH,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-6a3114572dffb9b823623fc3281cb224,1760,2024-10-02 21:58:04.591,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,0e84d552-02c5-4573-a125-336b02d6e17e,56,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1384}",670e904bd0e5bccd6ce3f74c,,INFORMATION_SEARCH,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,1384,2024-10-15 18:54:51.179,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,78e326bc-b515-4194-aaa6-52beefd7a392,16,"{'key': 'MY_CHART', 'name': 'CANNED_RESPONSE_TRIGGERED', 'nluEngineVersion': '6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1818}",670ec288c6d56ea441603aea,MY_CHART,CANNED_RESPONSE_TRIGGERED,6ea939c99252fd8d2b84582660f85fe69c4a6877 urmc-d7b76ab58052fc65932cbb27caa4ced2,1818,2024-10-15 22:29:12.049,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,a2294cc9-1e9a-4be9-9977-fd23d64f64e0,97,"{'name': 'CORONAVIRUS_GENERAL', 'nluEngineVersion': '0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2', 'requestLatency': 1247}",670e73d014519701d63ac952,,CORONAVIRUS_GENERAL,0668b4298420020a85dadd5a28482c463c374e23 urmc-d7b76ab58052fc65932cbb27caa4ced2,1247,2024-10-15 16:53:20.794,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,e480442e-ef97-4311-a4ca-56c943fb772b,21,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1897}",67054b020f278e6ab11359b8,,INFORMATION_SEARCH,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,1897,2024-10-08 18:08:50.588,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,e480442e-ef97-4311-a4ca-56c943fb772b,48,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1330}",67054b330f278e6ab1135d0d,,INFORMATION_SEARCH,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,1330,2024-10-08 18:09:39.260,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,7ef6a9ee-c4fa-4b55-98b3-dbef8f5e7ce5,76,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '557c83927e86c59e16a4e1bcb0d2d51ea24d8aac urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1143}",67052ffb0f278e6ab11177ea,,INFORMATION_SEARCH,557c83927e86c59e16a4e1bcb0d2d51ea24d8aac urmc-f95578ec092932482f95a0d3fdaedaa8,1143,2024-10-08 16:13:31.357,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6aa5e7bf-8470-4113-b281-31ee03ebcfeb,61,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 159}",670558140f278e6ab1142ef4,,INFORMATION_SEARCH,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,159,2024-10-08 19:04:36.927,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,aa493809-a15c-4b57-b31f-f0a04f91e7ed,56,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': '557c83927e86c59e16a4e1bcb0d2d51ea24d8aac urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 4004}",67052c754f3c05168c74c271,,INFORMATION_SEARCH,557c83927e86c59e16a4e1bcb0d2d51ea24d8aac urmc-f95578ec092932482f95a0d3fdaedaa8,4004,2024-10-08 15:58:29.693,INTENT
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,a322c6fa-dc7e-46c4-bf75-29450e52b786,32,"{'name': 'INFORMATION_SEARCH', 'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1384}",67057e554f3c05168c7a0a5b,,INFORMATION_SEARCH,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,1384,2024-10-08 21:47:49.750,INTENT
