CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,provider
2f4b7ee5-53da-4212-a57a-d01e3a0c957f,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},670d5ab3881e9aad8ce4ba12,2024-10-14 20:53:55.459,STT_PROVIDER,DEEPGRAM
5ca17e6b-9d54-4ec0-a52d-ddea742226ae,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,15,{'provider': 'DEEPGRAM'},670d512b8529bdd288af9607,2024-10-14 20:13:15.599,STT_PROVIDER,DEEPGRAM
5ca17e6b-9d54-4ec0-a52d-ddea742226ae,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,35,{'provider': 'DEEPGRAM'},670d514a8529bdd288af97c2,2024-10-14 20:13:46.175,STT_PROVIDER,DEEPGRAM
b05d2685-e10c-4ac9-9b3e-a3d150ed29a4,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,18,{'provider': 'DEEPGRAM'},67089c438529bdd288833c46,2024-10-11 06:32:19.176,STT_PROVIDER,DEEPGRAM
9280760a-c925-4f06-aa8d-bc2ac2c88879,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,21,{'provider': 'DEEPGRAM'},6701c979ce37c37834bc7227,2024-10-06 02:19:21.918,STT_PROVIDER,DEEPGRAM
7e0b89b9-ab7d-4c22-83d7-7c13882d3461,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,36,{'provider': 'DEEPGRAM'},66fbd452ce37c3783475a7b6,2024-10-01 13:52:02.042,STT_PROVIDER,DEEPGRAM
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,24,{'provider': 'DEEPGRAM'},66fc48ee06ea172c89ccc5c5,2024-10-01 22:09:34.142,STT_PROVIDER,DEEPGRAM
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,43,{'provider': 'DEEPGRAM'},66fc48ff06ea172c89ccc6e0,2024-10-01 22:09:51.132,STT_PROVIDER,DEEPGRAM
3070591b-fc42-46c4-85bc-c7cff14dd680,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,60,{'provider': 'DEEPGRAM'},66fc490b06ea172c89ccc7a8,2024-10-01 22:10:03.286,STT_PROVIDER,DEEPGRAM
05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,33,{'provider': 'DEEPGRAM'},670435ab681a3e4d7a27f1b5,2024-10-07 22:25:31.598,STT_PROVIDER,DEEPGRAM
05f34c29-dad9-4706-9eb1-6c8aa6c7c7b1,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,44,{'provider': 'DEEPGRAM'},670435b2681a3e4d7a27f20f,2024-10-07 22:25:38.920,STT_PROVIDER,DEEPGRAM
20d11499-7f1e-47d6-a470-719fdd90ec8c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,{'provider': 'DEEPGRAM'},670452c300ab2c30dead7514,2024-10-08 00:29:39.802,STT_PROVIDER,DEEPGRAM
20d11499-7f1e-47d6-a470-719fdd90ec8c,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,70,{'provider': 'DEEPGRAM'},670452de00ab2c30dead763d,2024-10-08 00:30:06.658,STT_PROVIDER,DEEPGRAM
