ASSISTANT_ID,CONVERSATION_ID,EVENT_POSITION,eventData,eventId,nluEngineVersion,reason,requestLatency,timestamp,typeOfEvent
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,bd2c1f9e-a1ab-495f-b142-942882b5cc48,14,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1648}",6701be15ce37c37834bbfeae,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,1648,2024-10-06 01:30:45.111,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,f64f2ffa-72ae-4d66-a98c-65520c6e34c9,60,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 2640}",6701447c55f202ce262c9863,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,2640,2024-10-05 16:51:56.741,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,3ffee3d0-13a4-4bf9-afe0-69b3087a724b,31,"{'nluEngineVersion': '65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff', 'requestLatency': 1388}",6701554a55f202ce262d60c9,65d388268f9c81a5fb065f9cf8445d04396053ce urmc-dae7856d287399b0f2ee2498371c2aff,,1388,2024-10-05 18:03:38.976,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16a765fe-c2e0-477f-a9c1-a4cd829c8bbb,14,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1710}",6706bd887673c82f4276cbb5,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,1710,2024-10-09 20:29:44.137,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16a765fe-c2e0-477f-a9c1-a4cd829c8bbb,20,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1701}",6706bd997673c82f4276cd1a,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,1701,2024-10-09 20:30:01.241,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5052fde4-8a9b-41a3-a3f2-deae7a4ae022,27,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1787}",67070ad114519701d6f2a7dc,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,1787,2024-10-10 01:59:29.557,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5052fde4-8a9b-41a3-a3f2-deae7a4ae022,32,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 5132}",67070ae714519701d6f2a8e4,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,5132,2024-10-10 01:59:51.158,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,5052fde4-8a9b-41a3-a3f2-deae7a4ae022,38,"{'nluEngineVersion': '9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 2468}",67070af514519701d6f2a97d,9909819b4cd72d55a6c4f1ff2b54cff14be7f550 urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,2468,2024-10-10 02:00:05.815,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,c64e8361-d1f4-4fd5-b659-095986bf4bd8,43,"{'nluEngineVersion': 'e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'requestLatency': 1413}",6706e008f480fd5383adade2,e04547ebabc1ce823670359ac9eb2f882eac7a1c urmc-0bbf8416e2dffb4d5af60416f6e94ed5,,1413,2024-10-09 22:56:56.553,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,6aee38cb-13fd-4872-bb8e-329d898377b3,37,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1845}",6705d6937673c82f426d22c1,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1845,2024-10-09 04:04:19.020,MISUNDERSTANDING
08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,056cc9c1-ae2d-4111-ab2e-1e926718a6b4,19,"{'nluEngineVersion': 'a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8', 'requestLatency': 1212}",6705dc8f14519701d6e55c41,a6f109567b9d330e351f52437db72c06ebe694f2 urmc-f95578ec092932482f95a0d3fdaedaa8,,1212,2024-10-09 04:29:51.647,MISUNDERSTANDING
